	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	SiteProvince	DistrictName	EpiWeek	SampleCollectionDate	Sequence_ID	SiteName	Lineages	Abundances
COV-22-257	193	193	193	Gauteng	Ekurhuleni MM	37.0	2022-09-13	COV-22-257	Hartebeesfontein Waterworks	BA.5.X BA.1.X Recombinants	[0.8736978500000001, 0.09077483, 0.02989269]
COV-22-258	194	194	194	Gauteng	Ekurhuleni MM	37.0	2022-09-13	COV-22-258	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X	[0.99948811]
COV-22-259	195	195	195	Gauteng	Johannesburg MM	37.0	2022-09-13	COV-22-259	Goudkoppies Wastewater Treatment Works	BA.5.X	[0.99841332]
COV-22-26	196	196	196	Gauteng	Tshwane MM	4.0	2022-01-25	COV-22-26	Daspoort Wastewater Treatment Works	BA.2.X	[0.99862145]
COV-22-260	197	197	197	Gauteng	Tshwane MM	37.0	2022-09-14	COV-22-260	Rooiwal Wastewater Treatment Works	BA.5.X BA.4.X	[0.62029253, 0.37736574]
COV-22-261	198	198	198	Gauteng	Tshwane MM	37.0	2022-09-14	COV-22-261	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X	[0.8492336900000002, 0.14760018000000003]
COV-22-262	199	199	199	Gauteng	Ekurhuleni MM	38.0	2022-09-20	COV-22-262	Hartebeesfontein Waterworks	BA.1.X BA.5.X BA.4.X Other	[0.54396984, 0.43942637, 0.00497342, 0.007055]
COV-22-263	200	200	200	KwaZulu-Natal	Ethekwini MM	38.0	2022-09-19	COV-22-263	Central Wastewater Treatment Works (KZN)	BA.5.X	[0.9982271800000001]
COV-22-264	201	201	201	Gauteng	Johannesburg MM	38.0	2022-09-20	COV-22-264	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X	[0.9089051899999999, 0.08649654000000001]
COV-22-265	202	202	202	Gauteng	Ekurhuleni MM	38.0	2022-09-20	COV-22-265	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X	[0.9974683399999998]
COV-22-266	203	203	203	Gauteng	Tshwane MM	38.0	2022-09-20	COV-22-266	Daspoort Wastewater Treatment Works	BA.5.X BA.4.X Recombinants	[0.9017720799999999, 0.09179808, 0.00145344]
COV-22-269	205	205	205	Gauteng	Tshwane MM	38.0	2022-09-22	COV-22-269	Rooiwal Wastewater Treatment Works	BA.5.X BA.2.X BA.2.12.X BA.4.X	[0.8866129, 0.06957516999999999, 0.02493321, 0.0142389]
COV-22-270	207	207	207	Gauteng	Ekurhuleni MM	39.0	2022-09-27	COV-22-270	Hartebeesfontein Waterworks	BA.5.X BA.1.X Recombinants	[0.50681173, 0.10279956, 0.38600218999999997]
COV-22-271	208	208	208	Free State	Mangaung MM	39.0	2022-09-27	COV-22-271	Bloemspruit Wastewater Treatment Works	BA.5.X	[0.99838202]
COV-22-272	209	209	209	Free State	Mangaung MM	39.0	2022-09-27	COV-22-272	Sterkwater Wastewater Treatment Works	BA.5.X	[0.9975542500000001]
COV-22-273	210	210	210	Gauteng	Tshwane MM	39.0	2022-09-28	COV-22-273	Daspoort Wastewater Treatment Works	BA.5.X BQ.1.1.X BA.4.X	[0.90684336, 0.04423821, 0.044593289999999994]
COV-22-277	211	211	211	Gauteng	Johannesburg MM	40.0	2022-10-04	COV-22-277	Goudkoppies Wastewater Treatment Works	BA.5.X BA.4.X	[0.8274880499999999, 0.16945811]
COV-22-278	212	212	212	KwaZulu-Natal	Ethekwini MM	40.0	2022-10-03	COV-22-278	Central Wastewater Treatment Works (KZN)	BA.5.X BA.4.X	[0.8413588599999999, 0.15600978]
COV-22-280	215	215	215	Eastern Cape	Buffalo City MM	40.0	2022-10-04	COV-22-280	Mdantsane Wastewater Treatment Works	BA.5.X	[0.99847844]
COV-22-282	216	216	216	Free State	Mangaung MM	40.0	2022-10-04	COV-22-282	Sterkwater Wastewater Treatment Works	BA.5.X	[0.99718642]
COV-22-283	217	217	217	Gauteng	Tshwane MM	40.0	2022-10-05	COV-22-283	Rooiwal Wastewater Treatment Works	BA.5.X	[0.99742863]
COV-22-284	218	218	218	KwaZulu-Natal	Ethekwini MM	41.0	2022-10-10	COV-22-284	Central Wastewater Treatment Works (KZN)	BA.5.X BA.2.X	[0.9119669800000001, 0.08354837]
COV-22-285	219	219	219	Gauteng	Ekurhuleni MM	41.0	2022-10-11	COV-22-285	ERWAT Vlakplaat Wastewater Treatment Works	BA.5.X Recombinants	[0.86195499, 0.13565711]
